app_name,title,version,rating,review,vote_count
Tomb of the Mask,Overall fun game...but,1.6,2.0,"ENOUGH of the ads. I know the creator wants to make a buck, but this is INSANE! You have to watch an ad after Every Single Attempt. And to make matters worse, the ads are ridiculously repetitive. Game play is cool. Neat game.",0.0
Tomb of the Mask,Would be good if not for the ads,1.6,1.0,"Everything you do requires an ad, it’s really annoying. $8 a week for this game without having to watch ads or use energy? That’s absurd. I could see buying this game for maybe $3, but paying $8 A WEEK is crazy. This isn’t Netflix or a gym membership. It’s a mobile game, get out of here with your subscription model.",0.0
Tomb of the Mask,AMAZING,1.6,5.0,This game is so indicting and I love it,0.0
Tomb of the Mask,So many ads,1.6,4.0,The game itself is really fun but you go through two ads to start and one every single time you pass a level or fail a level. I understand it’s how they make money and how it keeps the game free. It just gets annoying after a while.,0.0
Tomb of the Mask,Terrible app,1.6,1.0,"This app has a cool game in it. However the app consists of ads every time you pass a level, fail at a level, open the app, and when ever else they want to put an ad in. You play for 15-30 seconds and then watch an ad that’s just as long. This ruined the game",0.0
Tomb of the Mask,Why so many ads?,1.6,4.0,So I personally think that why is there so many ads? How about every time an add shows up we should get coins or a free spin on the fortune wheel. But besides the ads the app is really great! That’s the only thing,0.0
Tomb of the Mask,BEST GAME EVER,1.6,5.0,This game is the best!!!,0.0
Tomb of the Mask,Too much ads,1.6,2.0,WHEN I FINISH A LEVEL AN AD COMES UP ALL THE TUME IT STRESSES ME!! Please make ad A LOT,0.0
Tomb of the Mask,add more levels !!,1.6,5.0,"ive already gone through all of them, please add more soon ! love the game !",0.0
Tomb of the Mask,AMAZING,1.6,5.0,ITS SOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO FUUUUUUUUUUN,0.0
Tomb of the Mask,Most Amazing Game Ever,1.6,5.0,This is the best. My mom downloaded it. Best FRIKIN game ever.,0.0
Tomb of the Mask,Dyjrtfghxhtrxrthdthrxyruxyurxyfxjfyxjyxfjyfjxjyfxyjxfyfcj,1.6,5.0,V hfrcykyxfkgxdjgdxjxgfmymtdfyxkyrdkrykdyrkdyrkdrdykrdyrydkdyrkykrddryyrxkyrxkykrxykrxxfyk,0.0
Tomb of the Mask,Who runs this world?,1.6,1.0,"ADS...

If(action)
   run(ad)
end",0.0
Tomb of the Mask,Good game,1.6,5.0,Good game:),0.0
Tomb of the Mask,yay,1.6,4.0,I am am avareege persan. I lik tis gaem. It fun an entrtanin:),0.0
Tomb of the Mask,Advertisements,1.6,1.0,This app is ridiculous. You play one level then get slammed with 30-50 seconds of ads.,0.0
Tomb of the Mask,Trash,1.6,1.0,Stupid ads for this idiot of a game keep popping up and the x to close the ad is so small I can't press it just like the intelligence of what I dare call game designers,0.0
Tomb of the Mask,Great gameplay buried under a pile of annoyances,1.6,2.0,"The actual game here is great. It's very satisfying to play, has a fun art style, and contains a fun mix of puzzle game and fast paced arcade game. However trying to play this game is a chore. You only have 5 lives that take a long time to recharge, you have to watch ads to open chests, continue a level if you die, and after every game unless you pay to remove them. But even paying the few bucks to remove ads doesn't remove the ads to open chests or revive in a level. If you want access to all of the masks, unlimited lives, and a few free coins, it's going to cost you $8 a WEEK. That's insane for a mobile game this simple. I wouldn't even pay $8 to own this game once and they are expecting that weekly to make their game fully playable. I was really enjoying the gameplay but I've never seen more ridiculously greedy business tactics.",0.0
Tomb of the Mask,Torn,1.6,5.0,Loved it fun for waiting,0.0
Tomb of the Mask,Great Game!,1.6,4.0,Love the game.  Addicting.  Need more levels!!!!  I’ve gotten through all 200 and I’m getting tired of arcade mode,0.0
Tomb of the Mask,Fix your game,1.6,3.0,It sometimes doesn’t even go where you swipe and gets you killed so fix thaf,0.0
Tomb of the Mask,Way too many ads,1.6,3.0,"I love this game. Not some phenomenal game of the year super graphics record, but a great game to play when your bored or need something to do. But the ads are so frustrating. After every attempt there is an ad. I don’t know if this is for everyone, but for me there are so many ads. Fix that and it’ll be rated accordingly.",0.0
Tomb of the Mask,ad,1.6,1.0,awesome game but theirs way to many ads after and before every level I feel there is an ad but good game,0.0
Tomb of the Mask,😁😁,1.6,5.0,the best game i have ever played ! but way too many ads ):,0.0
Tomb of the Mask,Ruined by paywalls,1.6,1.0,"Another mechanically enjoyable game ruined by minute-long ads, paywalls that can be skipped with more ads, and obnoxious pay-to-win options.",0.0
Tomb of the Mask,Really cool!,1.6,5.0,Love the 8-bit style aesthetics and the gameplay!,0.0
Tomb of the Mask,Reload,1.6,4.0,I love the app but the only problem I have is it starting. One moment it works and the next moment I have to redownload the app to play it,0.0
Tomb of the Mask,The ads,1.6,3.0,This game is fun and challenging and I recommend it... if you don’t have a problem with watching TONS of ads. Whenever you beat a level there’s an ad. There is more ads than gameplay. Deleted it. Don’t bother unless you want to see dozens of ads.,0.0
Tomb of the Mask,Glitches,1.6,2.0,The game is glitchy and it is annoying,0.0
Tomb of the Mask,Tom,1.6,5.0,Fun and great,0.0
Tomb of the Mask,Sooo many ads,1.6,3.0,Great game but any thing you touch leads to an ad which is unnecessary. It’s starts to annoy you and you don’t even want to play anymore.,0.0
Tomb of the Mask,Fun but I’m uninstalling,1.6,2.0,"The ad frequency is absolutely ridiculous + the 15-20 minute wait time for more energy makes me not want to play the game.... 
Who pays $9/WEEK for a mobile game? If it was a one time payment, I 100% would do it but 🤷🏾‍♀️🤷🏾‍♀️🤷🏾‍♀️",0.0
Tomb of the Mask,Love this game!,1.6,5.0,Really addicting and fun to play!,0.0
Tomb of the Mask,Fun but...,1.6,3.0,I don’t mind ads but every time an ad pops up or I watch one to get something for free the ad never plays and my phone just sits on a black screen until I close the app.,0.0
Tomb of the Mask,Thank you for Releasing new levels,1.6,5.0,Reporting bug- I can’t use my shields at all. See if you guys are able to make new game mode or something,0.0
Tomb of the Mask,Took my money!,1.6,1.0,i deleted the game and it charged me for diamond membership i need a refund!,0.0
Tomb of the Mask,More levels,1.6,5.0,I’m done with the game add more levels but other than that the game is fun,0.0
Tomb of the Mask,"Amazing, but....",1.6,5.0,"I’ve only been using the app for 2 days now and I think it’s awesome and that people should really get it. But the thing that bothers me is all the ads and they’re really annoying because you get them when you want to do one simple thing. Overall the app is very good, great graphics and I love the way that each level gets more challenging.",0.0
Tomb of the Mask,Great game!!! But.....,1.6,4.0,"Just got it today, awesome and fun great. But I don’t like this part about new app games. To get good or fun items, you have to pay $7.99 a week. Which I think is stupid. What happened to just paying and buying it one time and that was it?!?! I know that you can always buy the coin or gems or whatever in the game. But I hate this BS weekly paying thing.",0.0
Tomb of the Mask,Ads,1.6,2.0,"Great game, but holy cow! Are there ads everywhere! There’s a banner ad on the bottom the whole time in your usual “swipe area” so sometimes you hit the ad instead of swiping, and die. Oh and don’t forget watching ad ad after every level, watch an ad to get a retry or watch an ad to get a coin doubler. Do all that or pay the ridiculous subscription of $8 a week, not a month. That’s insanity! That’s about $32 a month!!!! If this is going to be common place in mobile games, I’m done playing these cash grabbers",0.0
Tomb of the Mask,About game,1.6,3.0,Make an uptade,0.0
Tomb of the Mask,Ads,1.6,4.0,This game could go with less ads. At least make it so you don’t get an ad every stage. Other than that good game,0.0
Tomb of the Mask,STOP WITH THE ADS,1.6,1.0,I’ve never seen a game with more ads! Ever! It’s terrible! This game isn’t even fun enough to have this many ads. It’s stupid,0.0
